Latitude,Longitude,CropType,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B10,B11,B12
46.317667862745104,-63.686994568627455,12,"Potato",74,59,56,53,78,140,180,159,197,58,1,89,43
46.317667862745104,-63.68672005882353,29,"Potato",74,57,56,50,78,138,161,158,187,58,1,83,42
46.31794237254902,-63.686994568627455,20,"Potato",74,59,58,43,79,162,202,215,224,58,1,91,43
46.31794237254902,-63.68672005882353,33,"Potato",74,59,57,50,80,137,163,168,188,58,1,84,42
46.32206001960785,-63.68836711764706,33,"Potato",74,58,56,47,77,154,186,191,214,57,1,89,46
46.32233452941177,-63.688641627450984,28,"Potato",75,58,55,46,74,146,183,178,205,59,1,85,43
46.32233452941177,-63.68836711764706,3,"Potato",74,59,58,47,76,145,191,199,208,57,1,89,45
46.32233452941177,-63.68809260784314,33,"Potato",74,59,57,54,80,139,167,163,190,57,1,92,49
46.32260903921569,-63.68836711764706,28,"Potato",74,57,56,49,75,135,169,169,188,54,1,88,47
46.32343256862745,-63.69166123529412,16,"Canola / Rapeseed",80,74,75,66,95,160,197,161,213,64,1,109,64
46.32343256862745,-63.6913867254902,22,"Canola / Rapeseed",81,82,79,75,89,148,171,140,190,57,1,110,69
46.323707078431376,-63.69166123529412,22,"Canola / Rapeseed",76,63,67,62,101,172,210,194,235,69,1,101,52
46.323707078431376,-63.6913867254902,27,"Canola / Rapeseed",78,65,74,61,103,186,223,235,236,64,1,105,54
46.32453060784314,-63.68919064705883,27,"Barley",79,75,73,64,88,161,200,167,215,58,1,103,61
46.32480511764706,-63.689465156862745,24,"Barley",76,64,70,66,102,172,196,198,229,65,1,107,54
46.32480511764706,-63.68919064705883,8,"Barley",78,62,70,58,99,180,206,233,235,64,1,108,56
46.32727570588236,-63.692759274509804,14,"Potato",80,63,68,59,99,234,239,240,240,91,1,151,94
46.32727570588236,-63.69248476470589,32,"Potato",80,78,78,77,98,204,235,182,236,91,1,146,88
46.32755021568628,-63.692759274509804,17,"Potato",84,61,65,43,100,236,240,243,241,82,1,154,86
46.32755021568628,-63.69248476470589,33,"Potato",84,80,81,92,102,190,221,188,234,82,1,156,109
46.32892276470589,-63.6913867254902,29,"Barley",75,65,72,69,91,206,236,226,239,82,1,114,54
46.32892276470589,-63.691112215686275,35,"Barley",75,54,56,29,80,234,238,237,240,82,1,115,48
46.32919727450981,-63.6913867254902,10,"Barley",76,58,62,39,83,230,238,236,240,82,1,117,52
46.32919727450981,-63.691112215686275,21,"Barley",76,55,59,29,84,236,240,239,242,82,1,120,50
46.329471784313725,-63.693857313725495,28,"Potato",78,61,67,36,85,239,244,243,245,98,1,123,48
46.329471784313725,-63.6913867254902,35,"Barley",76,68,72,53,89,218,236,235,238,82,1,124,63
46.32974629411765,-63.69413182352942,26,"Potato",77,62,66,37,85,239,244,243,246,99,1,123,49
46.32974629411765,-63.693857313725495,5,"Potato",77,62,66,37,85,239,244,243,245,94,1,123,49
46.33002080392157,-63.693857313725495,33,"Potato",77,60,65,37,83,238,242,241,244,94,1,124,51
46.331118843137254,-63.69495535294118,31,"Canola / Rapeseed",77,61,66,37,84,238,243,242,244,99,1,121,48
46.331118843137254,-63.694680843137256,22,"Canola / Rapeseed",77,62,66,37,85,238,243,242,244,99,1,120,47
46.33139335294118,-63.69495535294118,24,"Canola / Rapeseed",75,60,65,36,85,238,243,242,245,86,1,120,47
46.33139335294118,-63.694680843137256,13,"Canola / Rapeseed",75,61,66,36,85,238,243,242,245,86,1,120,47
46.332216882352945,-63.692759274509804,27,"Potato",75,56,60,34,90,220,236,236,238,78,1,94,40
46.332216882352945,-63.69248476470589,23,"Potato",75,65,75,46,109,235,238,237,239,78,1,81,37
46.33249139215687,-63.692759274509804,21,"Potato",75,58,61,35,91,218,236,236,238,77,1,93,40
46.33249139215687,-63.69248476470589,17,"Potato",75,66,79,46,108,235,238,237,239,77,1,78,35
46.333040411764706,-63.69605339215686,28,"Potato",71,51,45,24,56,185,233,213,236,74,1,96,36
46.333040411764706,-63.69577888235295,18,"Potato",71,51,49,24,60,188,235,236,237,74,1,101,38
46.33331492156863,-63.69605339215686,27,"Potato",71,53,49,26,60,204,237,236,239,74,1,110,41
46.33331492156863,-63.69577888235295,16,"Potato",71,51,47,23,64,203,236,237,238,74,1,115,46
46.33331492156863,-63.69330829411765,32,"Barley",75,61,59,61,84,121,145,149,171,60,1,118,69
46.33358943137255,-63.69358280392157,23,"Barley",75,61,58,58,82,120,143,146,171,53,1,116,67
46.33358943137255,-63.69330829411765,8,"Barley",75,60,58,58,83,121,145,146,172,53,1,116,67
46.333863941176475,-63.69330829411765,31,"Barley",75,61,59,62,85,121,144,149,171,53,1,116,67
46.33496198039216,-63.696327901960785,30,"Potato",75,56,51,39,63,146,175,170,196,59,1,105,51
46.33523649019608,-63.69660241176471,28,"Potato",76,66,69,63,96,156,185,190,213,61,1,122,65
46.33523649019608,-63.696327901960785,2,"Potato",76,67,69,68,85,149,173,184,195,61,1,118,62
46.33523649019608,-63.69605339215686,33,"Potato",74,54,48,31,54,136,170,152,197,62,1,100,44
46.335511000000004,-63.696327901960785,31,"Potato",76,67,70,69,93,149,175,180,199,61,1,123,63
46.33606001960784,-63.69413182352942,34,"Barley",76,62,60,62,89,125,149,152,177,53,1,115,66
46.336334529411765,-63.69413182352942,6,"Barley",76,63,62,64,90,129,150,151,180,55,1,118,67
46.336334529411765,-63.693857313725495,25,"Barley",76,64,63,67,92,129,152,152,180,55,1,120,69
46.33660903921569,-63.69413182352942,28,"Barley",76,63,63,64,92,133,157,160,187,55,1,118,67
46.35060903921569,-63.70373966666667,30,"Timothy",77,60,69,39,89,235,239,238,240,84,1,137,61
46.35060903921569,-63.70346515686275,11,"Timothy",77,59,67,37,87,235,240,238,241,84,1,134,59
46.35088354901961,-63.70373966666667,34,"Timothy",79,68,79,71,113,193,222,230,235,64,1,181,111
46.35088354901961,-63.70346515686275,20,"Timothy",79,72,81,83,109,186,210,212,228,64,1,185,117
46.36158943137255,-63.710053392156865,22,"Potato",76,62,59,55,76,131,158,145,177,58,1,146,78
46.36186394117647,-63.71032790196079,34,"Potato",78,61,59,48,84,158,189,174,210,66,1,149,78
46.36186394117647,-63.710053392156865,9,"Potato",78,57,55,43,87,164,189,189,221,66,1,143,74
46.36186394117647,-63.70977888235294,30,"Potato",80,61,60,49,94,161,197,201,220,66,1,141,74
46.362687470588234,-63.718563196078435,30,"Potato",75,58,61,35,74,195,235,235,236,61,1,133,58
46.362687470588234,-63.71828868627451,16,"Potato",75,58,60,35,74,203,235,235,237,67,1,132,58
46.36296198039216,-63.718563196078435,30,"Potato",75,58,59,34,73,206,235,233,237,76,1,131,57
46.36296198039216,-63.71828868627451,16,"Potato",75,59,61,35,74,208,236,235,237,77,1,133,56
